Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Liam Hicks,1B,MIA,3600,2.8337133626766766,ML_Model,2.8337133626766766,4.4,39.3%,18.5%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Nolan Gorman,3B,STL,3700,2.832524620214718,ML_Model,2.832524620214718,7.9,39.3%,18.5%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Nick Fortes,C,MIA,2200,2.8,PPG_Projection,2.8,2.8,,,,,,,,,,
Andres Chaparro,1B,WAS,2300,2.8,PPG_Projection,2.8,2.8,,,,,,,,,,
Connor Wong,C,BOS,2100,2.7943996655857566,ML_Model,2.7943996655857566,3.1,39.1%,18.4%,6.4%,1.6%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Masyn Winn,SS,STL,3900,2.613569794653281,ML_Model,2.613569794653281,9.2,38.3%,17.8%,6.1%,1.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
Robert Hassell III,OF,WAS,3000,2.6,PPG_Projection,2.6,2.6,,,,,,,,,,
J.C. Escarra,C,NYY,2600,2.4954795396938017,ML_Model,2.4954795396938017,3.9,37.7%,17.4%,5.9%,1.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
Kyle Isbel,OF,KC,2400,2.173582504820273,ML_Model,2.173582504820273,6.6,36.2%,16.4%,5.4%,1.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
Jose Tena,3B,WAS,3300,1.7,PPG_Projection,1.7,1.7,,,,,,,,,,
Rece Hinds,OF,CIN,3200,1.00084289572203,ML_Model,1.00084289572203,6.0,30.9%,13.0%,4.0%,0.9%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Jasson Dominguez,OF,NYY,3600,1.0,PPG_Projection,1.0,1.0,,,,,,,,,,
Danny Jansen,C,TB,3300,0.6851069309086495,ML_Model,0.6851069309086495,6.9,29.5%,12.2%,3.7%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
Drew Millas,C,WAS,2500,0.6,PPG_Projection,0.6,0.6,,,,,,,,,,
Nick Sogard,1B,BOS,2400,0.3,PPG_Projection,0.3,0.3,,,,,,,,,,
Vaughn Grissom,2B,BOS,2100,0.1,PPG_Projection,0.1,0.1,,,,,,,,,,
Jake Bauers,1B,MIL,2800,0.0,ML_Model,0.0,2.1,26.6%,10.6%,3.0%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
